Kynjuð orð	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10
k/kvk = aðeins notað um konur										
k/kvk-merkt	orðfl.	kóði	kóði2	merking	Óviðeigandi ástæða	Annað tilfallandi	önnur merking (ekki óviðeigandi)			
ambinbirna	no	k/kvk		ómyndunarkvendi	niðrandi/ljótt orð yfir konur	Löt kona, seinvirk				
ambirna	no	k/kvk		klaufsk, óhagvirk kona	niðrandi/ljótt orð yfir konur	Klaufsk kona				
arghola	no	k/kvk		lauslát kona	niðrandi/ljótt orð yfir konur	Lauslát kona				
birna	no	k/kvk		skaphörð og þrasgjörn, frek og stórvaxin kona ; kvenbjörn	niðrandi/ljótt orð yfir konur	Skapgerð: skaphörð, vanstillt kona ; skass				
blaðurskjóða	no	k/kvk		málug kona	niðrandi/ljótt orð yfir konur	Málug kona; sem segir meira en hún má				
bláhosa	no	k/kvk		lærð kona (spottyrði)	niðrandi/ljótt orð yfir konur	Almenn ljót orð um konur				
blásokka	no	k/kvk		lærð kona (spottyrði)	niðrandi/ljótt orð yfir konur	Almenn ljót orð um konur				
blómaskita	no	k/kvk		kona sem illa gengur að annast blóm	niðrandi/ljótt orð yfir konur	Klaufsk kona				
blondína	no	k/kvk			niðrandi/ljótt orð yfir konur	 				
bora	no	k/kvk		almennt skammaryrði kvk	niðrandi/ljótt orð yfir konur	Almenn ljót orð um konur	x (so. Að bora)			
bredda	no	k/kvk		frek og vanstillt kona	niðrandi/ljótt orð yfir konur	Skapgerð: skaphörð, vanstillt kona ; skass				
brengla	no	k/kvk		vanstillt kona	niðrandi/ljótt orð yfir konur	Skapgerð: skaphörð, vanstillt kona ; skass				
brúða	no	k/kvk		ósjálfstæð, framtakslaus manneskja	niðrandi/ljótt orð yfir konur	Skapgerð: Daufgerð, roluleg kona				
bryðja	no	k/kvk		digur, grófgerð, frek kona, skass ; tröllkona	niðrandi/ljótt orð yfir konur	Skapgerð: skaphörð, vanstillt kona ; skass				
buska	no	k/kvk		fljótfær kona	niðrandi/ljótt orð yfir konur	Fasmikil, hávær kona oft fljótfær				
buska	no	k/kvk		lauslát flökkukona	niðrandi/ljótt orð yfir konur	Lauslát kona				
byssa	no	k/kvk		uppstökk kona (einnig jákvætt um duglega konu)	niðrandi/ljótt orð yfir konur	Skapgerð: Geðill, uppstökk kona				
daðurdrós	no	k/kvk		lauslát kona	niðrandi/ljótt orð yfir konur	Lauslát kona				
dækja	no	k/kvk		draslfengin og lauslát kona	niðrandi/ljótt orð yfir konur	Lauslát kona				
dettiklessa	no	k/kvk		löt, þungfær kona	niðrandi/ljótt orð yfir konur	Löt kona, seinvirk				
digga	no	k/kvk		niðrandi 	niðrandi/ljótt orð yfir konur	Almenn ljót orð um konur				
dilla	no	k/kvk		kona sem engu kemur af	niðrandi/ljótt orð yfir konur	Löt kona, seinvirk				
dindilhosa	no	k/kvk		montin stúlka og tilhaldssöm	niðrandi/ljótt orð yfir konur	Montin kona, tilhaldsöm, hégómleg kona				
dingla	no	k/kvk		afkastalítil kona ; léleg hrífa	niðrandi/ljótt orð yfir konur	Löt kona, seinvirk				
doðra	no	k/kvk		rolulegur kvenmaður	niðrandi/ljótt orð yfir konur	Skapgerð: Daufgerð, roluleg kona				
dræsa	no	k/kvk		subbukvendi, flenna	niðrandi/ljótt orð yfir konur	Lauslát kona				
drembildrylla	no	k/kvk		löt og frek kona	niðrandi/ljótt orð yfir konur	Löt kona, seinvirk				
drógla	no	k/kvk		seinlát kona	niðrandi/ljótt orð yfir konur	Löt kona, seinvirk				
drolla	no	k/kvk		seinlát kona	niðrandi/ljótt orð yfir konur	Löt kona, seinvirk				
Drós	no	k/kvk		1 e. Lauslát kona, 2. Lufsa	niðrandi/ljótt orð yfir konur	 				
drós	no	k/kvk		flenna	niðrandi/ljótt orð yfir konur	Lauslát kona				
drulla	no	k/kvk		gikksleg kona, drembin og ill	niðrandi/ljótt orð yfir konur	Skapgerð: skaphörð, vanstillt kona ; skass				
drulludrýja	no	k/kvk		lastyrði 	niðrandi/ljótt orð yfir konur	Almenn ljót orð um konur				
Drusla	no	k/kvk		1 e. Lauslát kona, 2. Lufsa	niðrandi/ljótt orð yfir konur	 				
drykkjudömp	no	k/kvk		skammaryrði 	niðrandi/ljótt orð yfir konur	Almenn ljót orð um konur				
drylla	no	k/kvk		hrokafull kona	niðrandi/ljótt orð yfir konur	Montin kona, tilhaldsöm, hégómleg kona				
duðra	no	k/kvk		daufgerð og seinvirk kona	niðrandi/ljótt orð yfir konur	Löt kona, seinvirk				
dyndilhosa	no	k/kvk		léttúðug stúlka	niðrandi/ljótt orð yfir konur	Lauslát kona				
dyntirófa	no	k/kvk		léttúðug stúlka	niðrandi/ljótt orð yfir konur	Lauslát kona				
dyntrófa	no	k/kvk		skartgjörn kona	niðrandi/ljótt orð yfir konur	Tilhaldssöm, tilgerðarleg kona				
eldaskita	no	k/kvk		kona léleg við matreiðslu	niðrandi/ljótt orð yfir konur	Klaufsk kona				
embra	no	k/kvk		lítilsigld, kvíðin kona og kvartsöm	niðrandi/ljótt orð yfir konur	Skapgerð: Daufgerð, roluleg kona				
fætlingstuðra	no	k/kvk		óvirðingarnafn	niðrandi/ljótt orð yfir konur	Almenn ljót orð um konur				
