Almennt óviðeigandi	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10
a-merkt	orðflokkur	kóði	kóði2	merking	Óviðeigandi ástæða	Annað tilfallandi	önnur merking (ekki óviðeigandi)			
aumingjahrollur	no	a		 	Orð sem almennt telst óviðeigandi í málinu, og fellur ekki undir aðra flokka					
brjál	no	a		 	Orð sem almennt telst óviðeigandi í málinu, og fellur ekki undir aðra flokka					
djöflaæði	no	a			Orð sem almennt telst óviðeigandi í málinu, og fellur ekki undir aðra flokka					
djöflakollur	no	a			Orð sem almennt telst óviðeigandi í málinu, og fellur ekki undir aðra flokka					
djöflatrú	no	a			Orð sem almennt telst óviðeigandi í málinu, og fellur ekki undir aðra flokka					
dónakjaftur	no	a			Orð sem almennt telst óviðeigandi í málinu, og fellur ekki undir aðra flokka					
dónatal	no	a		 	Orð sem almennt telst óviðeigandi í málinu, og fellur ekki undir aðra flokka					
drull	no	a		 	Orð sem almennt telst óviðeigandi í málinu, og fellur ekki undir aðra flokka	hk				
drulla	no	a		 	Orð sem almennt telst óviðeigandi í málinu, og fellur ekki undir aðra flokka	kvk				
frekjuskarð	no	a			Orð sem almennt telst óviðeigandi í málinu, og fellur ekki undir aðra flokka					
grimmdarverk	no	a		 	Orð sem almennt telst óviðeigandi í málinu, og fellur ekki undir aðra flokka					
gunguskapur	no	a		 	Orð sem almennt telst óviðeigandi í málinu, og fellur ekki undir aðra flokka					
heigulsskapur	no	a		 	Orð sem almennt telst óviðeigandi í málinu, og fellur ekki undir aðra flokka					
hórdómsbrot	no	a	y	 	Orð sem almennt telst óviðeigandi í málinu, og fellur ekki undir aðra flokka					
hórdómur	no	a	y	 	Orð sem almennt telst óviðeigandi í málinu, og fellur ekki undir aðra flokka					
hórmang	no	a	y	 	Orð sem almennt telst óviðeigandi í málinu, og fellur ekki undir aðra flokka					
hórufáni	no	a			Orð sem almennt telst óviðeigandi í málinu, og fellur ekki undir aðra flokka					
hóruhald	no	a			Orð sem almennt telst óviðeigandi í málinu, og fellur ekki undir aðra flokka					
hórukró	no	a			Orð sem almennt telst óviðeigandi í málinu, og fellur ekki undir aðra flokka					
hórulík	no	a			Orð sem almennt telst óviðeigandi í málinu, og fellur ekki undir aðra flokka					
hórumamma	no	a			Orð sem almennt telst óviðeigandi í málinu, og fellur ekki undir aðra flokka					
hórunarvín	no	a			Orð sem almennt telst óviðeigandi í málinu, og fellur ekki undir aðra flokka					
hórusæng	no	a			Orð sem almennt telst óviðeigandi í málinu, og fellur ekki undir aðra flokka					
illvirki	no	a		 	Orð sem almennt telst óviðeigandi í málinu, og fellur ekki undir aðra flokka					
karlrembubrandari	no	a	k	 	Orð sem almennt telst óviðeigandi í málinu, og fellur ekki undir aðra flokka					
karlrembugrín	no	a	k	 	Orð sem almennt telst óviðeigandi í málinu, og fellur ekki undir aðra flokka					
karlrembuhúmor	no	a	k	 	Orð sem almennt telst óviðeigandi í málinu, og fellur ekki undir aðra flokka					
klikka	no	a		 	Orð sem almennt telst óviðeigandi í málinu, og fellur ekki undir aðra flokka					
meinfýsi	no	a		 	Orð sem almennt telst óviðeigandi í málinu, og fellur ekki undir aðra flokka					
meinleysingi	no	a		 	Orð sem almennt telst óviðeigandi í málinu, og fellur ekki undir aðra flokka					
ómennska	no	a		leti og dugleysi / leti og ómennska	Orð sem almennt telst óviðeigandi í málinu, og fellur ekki undir aðra flokka					
ósiðsemi	no	a		 	Orð sem almennt telst óviðeigandi í málinu, og fellur ekki undir aðra flokka					
plebbismi	no	a		 	Orð sem almennt telst óviðeigandi í málinu, og fellur ekki undir aðra flokka					
prump	no	a			Orð sem almennt telst óviðeigandi í málinu, og fellur ekki undir aðra flokka					
raðlygari	no	a		 	Orð sem almennt telst óviðeigandi í málinu, og fellur ekki undir aðra flokka					
ras	no	a		 	Orð sem almennt telst óviðeigandi í málinu, og fellur ekki undir aðra flokka					
rass	no	a		 	Orð sem almennt telst óviðeigandi í málinu, og fellur ekki undir aðra flokka					
rassgat	no	a		 	Orð sem almennt telst óviðeigandi í málinu, og fellur ekki undir aðra flokka					
sorakjaftur	no	a		 	Orð sem almennt telst óviðeigandi í málinu, og fellur ekki undir aðra flokka					
stelpupussulæti	no	a		 	Orð sem almennt telst óviðeigandi í málinu, og fellur ekki undir aðra flokka					
væl	no	a		 	Orð sem almennt telst óviðeigandi í málinu, og fellur ekki undir aðra flokka					
viðbjóður	no	a		 	Orð sem almennt telst óviðeigandi í málinu, og fellur ekki undir aðra flokka					
