Fagheiti	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11
m-merkt	orðfl	kóði	kóði2	merking	Óviðeigandi ástæða	Annað tilfallandi	önnur merking (ekki óviðeigandi)				
barnaheimili	no	m		leikskóli	Telst úrelt heiti yfir fagstétt, þykir lítillækka starfið og útilokandi.						
barnapía	no	m	k	Barnfóstra/ manneskja sem vinnur við umönnun barna	Telst úrelt heiti yfir fagstétt, þykir lítillækka starfið og útilokandi.						
bensíntittur	no	m	k	bensínafgreiðslumaður	Telst úrelt heiti yfir fagstétt, þykir lítillækka starfið og útilokandi.						
dagmamma	no	m	e?	dagforeldri	vafamál hvort teljist óviðeigandi						
fóstra	no	m		leikskólakennari/leikskólaliði/starfsmaður á leikskóla (ATH einhverjir vilja vera kallaðir “fóstrur”, t.d. þau sem fóru í gamla fósturskólann)	Telst úrelt heiti yfir fagstétt, þykir lítillækka starfið og útilokandi.		 				
gæslusystir	no	m		þroskaþjálfi	Telst úrelt heiti yfir fagstétt, þykir lítillækka starfið og útilokandi.						
gengilbeina	no	m		kvenkyns þjónn	Telst úrelt heiti yfir fagstétt, þykir lítillækka starfið og útilokandi.						
glasabarn	no	m		Sá sem hreinsar af borðum á veitingastað	Telst úrelt heiti yfir fagstétt, þykir lítillækka starfið og útilokandi.						
hárgreiðslukona	no	m	k	Hársnyrtir / klippari	Telst úrelt heiti yfir fagstétt, þykir lítillækka starfið og útilokandi.						
hjúkka	no	m		hjúkrunarfræðingur	Telst úrelt heiti yfir fagstétt, þykir lítillækka starfið og útilokandi.						
hjúkrunarkona	no	m	k 	hjúkrunarfræðingur	Telst úrelt heiti yfir fagstétt, þykir lítillækka starfið og útilokandi.						
kassadama	no	m	k	kassastarfsmaður / manneskja sem vinnur við afgreiðslu í verslun	Telst úrelt heiti yfir fagstétt, þykir lítillækka starfið og útilokandi.						
kennslukona	no	m	k	kennari	Telst úrelt heiti yfir fagstétt, þykir lítillækka starfið og útilokandi.						
kuklari	no	m		Einstaklingur sem stundar meðferð kvilla eða sjúkdóma án fræðilegrar kunnáttu og faglegs leyfis og beitir gagnslausum eða sviksamlegum úrræðum.	Telst úrelt heiti yfir fagstétt, þykir lítillækka starfið og útilokandi.		 				
skottulæknir	no	m		Einstaklingur sem stundar meðferð kvilla eða sjúkdóma án fræðilegrar kunnáttu og faglegs leyfis og beitir gagnslausum eða sviksamlegum úrræðum.	Telst úrelt heiti yfir fagstétt, þykir lítillækka starfið og útilokandi.		 				
skúringakerling	no	m	k		Telst úrelt heiti yfir fagstétt, þykir lítillækka starfið og útilokandi.						
skúringakona	no	m	k	ræstitæknir/manneskja sem vinnur við ræstingar	Telst úrelt heiti yfir fagstétt, þykir lítillækka starfið og útilokandi.						
vinnukona	no	m	k		Telst úrelt heiti yfir fagstétt, þykir lítillækka starfið og útilokandi.		x (rúðuþurrka)				
þjónustustúlka	no	m	k	þjónn	Telst úrelt heiti yfir fagstétt, þykir lítillækka starfið og útilokandi.						
þrifakona	no	m	k	ræstitæknir/manneskja sem vinnur við ræstingar	Telst úrelt heiti yfir fagstétt, þykir lítillækka starfið og útilokandi.						
