f-merkt	orðfl.	kóði	kóði2	merking	Óviðeigandi ástæða	Annað tilfallandi	önnur merking (ekki óviðeigandi)
downsari	no	f		einstaklingur með downs-heilkenni	Telst niðrandi yfir fólk með fötlun/úrelt		
fatlaður	lo	f		seinfær - manneskja með fötlun (ATH er ekki 100% á því að orðið fatlaður þyki alltaf neikvætt)	Telst niðrandi yfir fólk með fötlun/úrelt		
fáviti	no	f		um fatlaðan einstakling	Telst niðrandi yfir fólk með fötlun/úrelt		
fáviti	no	f		um fatlaðan einstakling	Telst niðrandi yfir fólk með fötlun/úrelt		
fjölfatlaður	no	f		einstaklingur með fleiri en eina fötlun	Telst niðrandi yfir fólk með fötlun/úrelt		
greindarlítill	lo	f		heimskur / greindarskertur	Telst niðrandi yfir fólk með fötlun/úrelt		
ingjaldsfífl	no	f		um fatlaðan einstakling	Telst niðrandi yfir fólk með fötlun/úrelt		
krypplingur	no	f	n	einstaklingur með hreyfihömlun	Telst niðrandi yfir fólk með fötlun/úrelt		
mongólítagervi	no	f			Telst niðrandi yfir fólk með fötlun/úrelt		
mongólíti	no	f		þroskaskertur/greindarskertur -	Telst niðrandi yfir fólk með fötlun/úrelt		
sólheimabarn	no	f		notað um fólk með þroskakerðingu (sem dvelst á Sólheimum)	Telst niðrandi yfir fólk með fötlun/úrelt		
sólheimabros	no	f		bros fólks með þroskaskerðingu „sólheimabarna.“	Telst niðrandi yfir fólk með fötlun/úrelt		
vangefinn	lo	f		þroskaskertur/greindarskertur	Telst niðrandi yfir fólk með fötlun/úrelt		
vanskapaður	lo	f			Telst niðrandi yfir fólk með fötlun/úrelt		
vanskapningur	no	f			Telst niðrandi yfir fólk með fötlun/úrelt		
vansköpun	no	f			Telst niðrandi yfir fólk með fötlun/úrelt		
vanþroska	lo	f		heimskur	Telst niðrandi yfir fólk með fötlun/úrelt		
þrolli	no	f		stytting á þroskaheftur	Telst niðrandi yfir fólk með fötlun/úrelt		
þroskaheftur	lo	f		þroskaskertur/greindarskertur - manneskja með þroskaskerðingu	Telst niðrandi yfir fólk með fötlun/úrelt		
