v-merkt	orðfl	kóði	kóði2	merking	Óviðeigandi ástæða	Annað tilfallandi	önnur merking (ekki óviðeigandi)
afturbatapíka	no	v		lastyrði um konu	nafn á kynfærum, stundum notað sem meiðyrði yfir fólk		
besefi	no	v		limur	nafn á kynfærum, stundum notað sem meiðyrði yfir fólk		
böllur	no	v		limur	nafn á kynfærum, stundum notað sem meiðyrði yfir fólk		
brjóst	no	v			nafn á kynfærum 		
brjóstvarta	no	v			nafn á kynfærum 		
budda	no	v		píka	nafn á kynfærum, stundum notað sem meiðyrði yfir fólk		
draumkunta	no	v		lastyrði um konu	nafn á kynfærum, stundum notað sem meiðyrði yfir fólk		
drullukunta	no	v			nafn á kynfærum, stundum notað sem meiðyrði yfir fólk		
endaþarmsop	no	v			nafn á kynfærum 		
endaþarmur	no	v			nafn á kynfærum 		
ferðafuða	no	v	k/kvk	flækingskvendi; sköp kvendýrs eða konu	nafn á kynfærum, stundum notað sem meiðyrði yfir fólk	Kona mikið á ferðinni	
flækingskvendi	no	v	k/kvk	flækingskvendi; sköp kvendýrs eða konu	nafn á kynfærum, stundum notað sem meiðyrði yfir fólk	Kona mikið á ferðinni	
geirvarta	no	v			nafn á kynfærum 		
getnaðarlimur	no	v	e	typpi	nafn á kynfærum, stundum notað sem meiðyrði yfir fólk		
glerkunta	no	v		lastyrði um konu	nafn á kynfærum, stundum notað sem meiðyrði yfir fólk		
göndull	no	v		limur	nafn á kynfærum, stundum notað sem meiðyrði yfir fólk		
hefðarpíka	no	v		lastyrði um konu	nafn á kynfærum, stundum notað sem meiðyrði yfir fólk		
kunta	no	v		píka/ lastyrði um konu	nafn á kynfærum, stundum notað sem meiðyrði yfir fólk		
kvensköp	no	v			nafn á kynfærum 		
láfa	no	v		grófyrði: sköp konu eða kvendýrs	nafn á kynfærum, stundum notað sem meiðyrði yfir fólk		
leggangur	no	v		annað orð yfir leggöng	nafn á kynfærum, stundum notað sem meiðyrði yfir fólk		
leggöng	no	v	e	kynfæri kvenna	nafn á kynfærum, stundum notað sem meiðyrði yfir fólk		
lókur	no	v		limur	nafn á kynfærum, stundum notað sem meiðyrði yfir fólk		
nabbi	no	v		typpi	nafn á kynfærum, stundum notað sem meiðyrði yfir fólk		
píka	no	v	e		nafn á kynfærum, stundum notað sem meiðyrði yfir fólk		
píkuhaft	no	v			nafn á kynfærum 		
píkuprump	no	v					
pjalla	no	v		píka	nafn á kynfærum, stundum notað sem meiðyrði yfir fólk		
pungur	no	v	e	lastyrði um karl	nafn á kynfærum, stundum notað sem meiðyrði yfir fólk		
Pussa	no	v		píka	nafn á kynfærum, stundum notað sem meiðyrði yfir fólk		
reður	no	v			nafn á kynfærum 		
sjókunta	no	v		lastyrði um konu	nafn á kynfærum, stundum notað sem meiðyrði yfir fólk		
skapabarmar	no	v	e	kynfæri kvenna	nafn á kynfærum, stundum notað sem meiðyrði yfir fólk		
skjóða	no	v		píka	nafn á kynfærum, stundum notað sem meiðyrði yfir fólk		
skökull	no	v		reður hests eða karls	nafn á kynfærum, stundum notað sem meiðyrði yfir fólk		
sköndull	no	v		skökull, reður (hests, karls)	nafn á kynfærum, stundum notað sem meiðyrði yfir fólk		
smápíka	no	v		píka	nafn á kynfærum, stundum notað sem meiðyrði yfir fólk		
snípur	no	v			nafn á kynfærum 		
stofupíka	no	v		lastyrði um konu	nafn á kynfærum, stundum notað sem meiðyrði yfir fólk		
tilli	no	v		limur	nafn á kynfærum, stundum notað sem meiðyrði yfir fólk		
tippalingur	no	v			nafn á kynfærum, stundum notað sem meiðyrði yfir fólk		
tippi	no	v	e	kynfæri karla	nafn á kynfærum, stundum notað sem meiðyrði yfir fólk		
tittlingur	no	v		limur	nafn á kynfærum, stundum notað sem meiðyrði yfir fólk		
tuðra	no	v	k/kvk	lastyrði um konu, 'kerlingartuðra'; sköp kvendýrs	nafn á kynfærum, stundum notað sem meiðyrði yfir fólk	Almenn ljót orð um konur	
tussa	no	v		píka	nafn á kynfærum, stundum notað sem meiðyrði yfir fólk		
tussa	no	v		lastyrði um konu	nafn á kynfærum, stundum notað sem meiðyrði yfir fólk		
tussa	no	v	k/kvk	lastyrði um konu 'kvensköp	nafn á kynfærum, stundum notað sem meiðyrði yfir fólk	Almenn ljót orð um konur	
typpalingur	no	v		limur	nafn á kynfærum, stundum notað sem meiðyrði yfir fólk		
typpi	no	v	e	limur	nafn á kynfærum, stundum notað sem meiðyrði yfir fólk		
yngispíka	no	v		lastyrði um konu	nafn á kynfærum, stundum notað sem meiðyrði yfir fólk		
þeytipíka	no	v		lastyrði um konu	nafn á kynfærum, stundum notað sem meiðyrði yfir fólk		
þjónustupíka	no	v		óviðeigandi orð yfir þjónustustúlku/þjón	nafn á kynfærum, stundum notað sem meiðyrði yfir fólk		
þurrkunta	no	v		lastyrði um konu	nafn á kynfærum, stundum notað sem meiðyrði yfir fólk		
