n-merkt	orðfl.	kóði	kóði2	merking	Óviðeigandi ástæða	Annað tilfallandi	önnur merking (ekki óviðeigandi)
æsingaseggur	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
aflagi	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
áflogaseggur	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
afturhaldsseggur	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
ágangsseggur	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
ágengnisseggur	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
árásarseggur	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
athyglissjúklingur	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
atvinnuhommahatari	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
aukvisi	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
aumingi	no	n		letingi, væskill	Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
baðstofuræfill	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
barnaaumingi	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
barnahatari	no	n		sá sem hatar börn	Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
barnaníðingur	no	n		manneskja sem sökuð eru um að hafa níðst á börnum	Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
bekkræfill	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
beljudjöfull	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
beljudjöfull	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
besserwisser	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
bikkja	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
bjánapoppari	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
blokkaraaumingi	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
bókarræfill	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
bóndaræfill	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
braggaræfill	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
brekánsræfill	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
brjálæðingur	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
búðarræfill	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
bulla	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
bullukolla	no	n		sá sem ruglar og bullar 	Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
buxnaræfill	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
byssuræfill	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
dauðyfli	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
dekurdrjóli	no	n 			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
djammari	no	n		sá sem djammar/skemmtir sér mikið	Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
djöflabarn	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
dólgur	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
dónakall	no	n	k/kk		Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
dónakarl	no	n	k/kk		Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
dóni	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
dreifbýlistútta	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
drengdjöfull	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
drollari	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
dröttur	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
Drullusokkur	no	n		niðrandi orð um einstakling	Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		x (verkfæri til að losa stíflu)
drusill	no	n		‘mannleysa, kauðamenni’	Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
drýsildjöfull	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
drýsildjöfull	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
duddi	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
durtur	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
dusilmenni	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
eggjunarfífl	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
egóisti	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
eiginhagsmunaseggur	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
einræðisseggur	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
erkidjöfull	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
erkidjöfull	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
erkiræfill	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
eyðsluseggur	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
fantur	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
fátæklingsræfill	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
fauti	no	n	h		Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
flækingsræfill	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
flagari	no	n	y		Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
flugdólgur	no	n			Nafnorð yfir fólk, neikvæð merking, niðrandi (ekki kynjað, heimsku-/drykkjuorð)		
