z-merkt	orðfl.	kóði	kóði2	merking	Óviðeigandi ástæða - misóviðeigandi listinn	Annað tilfallandi	önnur merking (ekki óviðeigandi)
ærumeiðing	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
ærumeiðingarbrot	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
ærumorð	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
afbrjóta	so	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
afbrjóta	so	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
afbrot	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
áfengisdauði	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
áfengislagabrot	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
áfengisvíma	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
aftaka	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
almannafærisbrot	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
árásarnauðgun	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
áreiti	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
áreitni	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
ástríðuglæpur	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
axarmorðingi	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
barnamorð	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
barnanauðgari	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
barnanauðgun	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
barnaníð	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
barnaníðingur	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
barnaníðsmál	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
barnaperri	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
barnapervert	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
barnarán	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
barnsdráp	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
barnsmorð	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
barnsrán	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
blóðugur	lo	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
blygðunarbrot	no	z			Orð sem telst almennt ekki óviðeigandi en gæti talist óviðeigandi umræðuefni fyrir börn.		
