s-merkt	orðfl.	kóði	kóði2	merking	Óviðeigandi ástæða	Annað tilfallandi	önnur merking (ekki óviðeigandi)
afmeyja	so	s	y		Sögn sem felur í sér óviðeigandi verknað, eða er notuð á óviðeigandi hátt yfir annan verknað		
andskota	so	s			Sögn sem felur í sér óviðeigandi verknað, eða er notuð á óviðeigandi hátt yfir annan verknað		
aula	so	s			Sögn sem felur í sér óviðeigandi verknað, eða er notuð á óviðeigandi hátt yfir annan verknað		
aumingja	lo	s		 	Sögn sem felur í sér óviðeigandi verknað, eða er notuð á óviðeigandi hátt yfir annan verknað		
aumingjast	so	s		> að drattast	Sögn sem felur í sér óviðeigandi verknað, eða er notuð á óviðeigandi hátt yfir annan verknað		
bannfæra	so	s		 	Sögn sem felur í sér óviðeigandi verknað, eða er notuð á óviðeigandi hátt yfir annan verknað		
bjána	so	s		 	Sögn sem felur í sér óviðeigandi verknað, eða er notuð á óviðeigandi hátt yfir annan verknað		
bölva	so	s		 	Sögn sem felur í sér óviðeigandi verknað, eða er notuð á óviðeigandi hátt yfir annan verknað		
brjála	so	s		 	Sögn sem felur í sér óviðeigandi verknað, eða er notuð á óviðeigandi hátt yfir annan verknað		
djöfla	so	s	b	 	Sögn sem felur í sér óviðeigandi verknað, eða er notuð á óviðeigandi hátt yfir annan verknað		
drulla	so	s		 	Sögn sem felur í sér óviðeigandi verknað, eða er notuð á óviðeigandi hátt yfir annan verknað		
drusla	so	s		 	Sögn sem felur í sér óviðeigandi verknað, eða er notuð á óviðeigandi hátt yfir annan verknað		
dumma	so	s		fara hægt, vera doðalegur; danka lengi’: láta e-ð d. ‘láta það eiga sig, láta það slarka’	Sögn sem felur í sér óviðeigandi verknað, eða er notuð á óviðeigandi hátt yfir annan verknað		
feita	so	s		 	Sögn sem felur í sér óviðeigandi verknað, eða er notuð á óviðeigandi hátt yfir annan verknað		
fjanda	so	s	b	 	Sögn sem felur í sér óviðeigandi verknað, eða er notuð á óviðeigandi hátt yfir annan verknað		
forpoka	so	s		 	Sögn sem felur í sér óviðeigandi verknað, eða er notuð á óviðeigandi hátt yfir annan verknað		
fyrirlíta	so	s		 	Sögn sem felur í sér óviðeigandi verknað, eða er notuð á óviðeigandi hátt yfir annan verknað		
gella	so	s		 	Sögn sem felur í sér óviðeigandi verknað, eða er notuð á óviðeigandi hátt yfir annan verknað		
gribba	so	s		 	Sögn sem felur í sér óviðeigandi verknað, eða er notuð á óviðeigandi hátt yfir annan verknað		
gúgla	so	s	e	 	Sögn sem felur í sér óviðeigandi verknað, eða er notuð á óviðeigandi hátt yfir annan verknað		
hata	so	s			Sögn sem felur í sér óviðeigandi verknað, eða er notuð á óviðeigandi hátt yfir annan verknað		
hóra	so	s	y	 	Sögn sem felur í sér óviðeigandi verknað, eða er notuð á óviðeigandi hátt yfir annan verknað		
hræsna	so	s		 	Sögn sem felur í sér óviðeigandi verknað, eða er notuð á óviðeigandi hátt yfir annan verknað		
klikka	so	s		 	Sögn sem felur í sér óviðeigandi verknað, eða er notuð á óviðeigandi hátt yfir annan verknað		x
krambúlera	so	s		 	Sögn sem felur í sér óviðeigandi verknað, eða er notuð á óviðeigandi hátt yfir annan verknað		
kúka	so	s		 	Sögn sem felur í sér óviðeigandi verknað, eða er notuð á óviðeigandi hátt yfir annan verknað		
lítilsvirða	so	s		 	Sögn sem felur í sér óviðeigandi verknað, eða er notuð á óviðeigandi hátt yfir annan verknað		
móðga	so	s		 	Sögn sem felur í sér óviðeigandi verknað, eða er notuð á óviðeigandi hátt yfir annan verknað		
ofsækja	so	s		 	Sögn sem felur í sér óviðeigandi verknað, eða er notuð á óviðeigandi hátt yfir annan verknað		
ölva	so	s	d	 	Sögn sem felur í sér óviðeigandi verknað, eða er notuð á óviðeigandi hátt yfir annan verknað		
rasa	so	s		 	Sögn sem felur í sér óviðeigandi verknað, eða er notuð á óviðeigandi hátt yfir annan verknað		
róa	so	s	e	 	Sögn sem felur í sér óviðeigandi verknað, eða er notuð á óviðeigandi hátt yfir annan verknað		
rógbera	so	s		 	Sögn sem felur í sér óviðeigandi verknað, eða er notuð á óviðeigandi hátt yfir annan verknað		
skíta	so	s		 	Sögn sem felur í sér óviðeigandi verknað, eða er notuð á óviðeigandi hátt yfir annan verknað		
stinka	so	s		 	Sögn sem felur í sér óviðeigandi verknað, eða er notuð á óviðeigandi hátt yfir annan verknað	ath enskusletta	
stórmóðga	so	s		 	Sögn sem felur í sér óviðeigandi verknað, eða er notuð á óviðeigandi hátt yfir annan verknað		
sturla	so	s	g	 	Sögn sem felur í sér óviðeigandi verknað, eða er notuð á óviðeigandi hátt yfir annan verknað		
svívirða	so	s		 	Sögn sem felur í sér óviðeigandi verknað, eða er notuð á óviðeigandi hátt yfir annan verknað		
tepra	so	s		 	Sögn sem felur í sér óviðeigandi verknað, eða er notuð á óviðeigandi hátt yfir annan verknað		
timbra	so	s		 	Sögn sem felur í sér óviðeigandi verknað, eða er notuð á óviðeigandi hátt yfir annan verknað		
trana	so	s		sýna framhleypni, ýta (e-u) fram	Sögn sem felur í sér óviðeigandi verknað, eða er notuð á óviðeigandi hátt yfir annan verknað		
uppnefna	so	s		 	Sögn sem felur í sér óviðeigandi verknað, eða er notuð á óviðeigandi hátt yfir annan verknað		
úthrópa	so	s		 	Sögn sem felur í sér óviðeigandi verknað, eða er notuð á óviðeigandi hátt yfir annan verknað		
væla	so	s		 	Sögn sem felur í sér óviðeigandi verknað, eða er notuð á óviðeigandi hátt yfir annan verknað		
