t-merkt	orðfl.	kóði	kóði2	merking	Óviðeigandi ástæða	Annað tilfallandi	önnur merking (ekki óviðeigandi)
andgyðinglegur	lo	t			Orð sem felur í sér einhvers konar trúarbrögð, getur verið gildishlaðið, hlaðið fordómum, jafnvel talist úrelt.		
andkristur	no	t			Orð sem felur í sér einhvers konar trúarbrögð, getur verið gildishlaðið, hlaðið fordómum, jafnvel talist úrelt.		
andsetinn	lo	t			Orð sem felur í sér einhvers konar trúarbrögð, getur verið gildishlaðið, hlaðið fordómum, jafnvel talist úrelt.		
Arabatrú		t		íslam	Óviðeigandi orð yfir ákveðna trú, rangnefni, úrelt og niðrandi yfir trúna		
bókstafstrúarmaður	no	t			Óviðeigandi orð yfir einstakling af ákveðinni trú (sem hefur orðið fyrir ásóknum)		
guðlast	no	t			Orð sem felur í sér einhvers konar trúarbrögð, getur verið gildishlaðið, hlaðið fordómum, jafnvel talist úrelt.		
guðlasta	so	t			Orð sem felur í sér einhvers konar trúarbrögð, getur verið gildishlaðið, hlaðið fordómum, jafnvel talist úrelt.		
guðleysingi	no	t			Orð sem felur í sér einhvers konar trúarbrögð, getur verið gildishlaðið, hlaðið fordómum, jafnvel talist úrelt.		
guðsvolaður	lo	t			Orð sem felur í sér einhvers konar trúarbrögð, getur verið gildishlaðið, hlaðið fordómum, jafnvel talist úrelt.		
gyðingahatari	no	t	z		Orð sem felur í sér einhvers konar trúarbrögð, getur verið gildishlaðið, hlaðið fordómum, jafnvel talist úrelt.		
gyðingamorð	no	t	z		Orð sem felur í sér einhvers konar trúarbrögð, getur verið gildishlaðið, hlaðið fordómum, jafnvel talist úrelt.		
gyðingasamsæri	no	t	z		Orð sem felur í sér einhvers konar trúarbrögð, getur verið gildishlaðið, hlaðið fordómum, jafnvel talist úrelt.		
helgibrot	no	t			Orð sem felur í sér einhvers konar trúarbrögð, getur verið gildishlaðið, hlaðið fordómum, jafnvel talist úrelt.		
helgidagur	no	t	e		Orð sem felur í sér einhvers konar trúarbrögð, getur verið gildishlaðið, hlaðið fordómum, jafnvel talist úrelt.		x (blettur sem verður eftir í þrifum)
Júði		t		gyðingur	Óviðeigandi orð yfir einstakling af ákveðinni trú (sem hefur orðið fyrir ásóknum)		
Múhameðstrú		t		íslam	Óviðeigandi orð yfir ákveðna trú, rangnefni, úrelt og niðrandi yfir trúna		
múhameðstrúarmaður		t		múslimi	Óviðeigandi orð yfir einstakling af ákveðinni trú (sem hefur orðið fyrir ásóknum)		
múslimaandúð	no	t			Orð sem felur í sér einhvers konar trúarbrögð, getur verið gildishlaðið, hlaðið fordómum, jafnvel talist úrelt.		
múslimahatari	no	t			Orð sem felur í sér einhvers konar trúarbrögð, getur verið gildishlaðið, hlaðið fordómum, jafnvel talist úrelt.		
múslimi	no	t	e		Orð sem felur í sér einhvers konar trúarbrögð, getur verið gildishlaðið, hlaðið fordómum, jafnvel talist úrelt.		
múslimskur	lo	t			Orð sem felur í sér einhvers konar trúarbrögð, getur verið gildishlaðið, hlaðið fordómum, jafnvel talist úrelt.		
ofsatrúarmaður	no	t			Orð sem felur í sér einhvers konar trúarbrögð, getur verið gildishlaðið, hlaðið fordómum, jafnvel talist úrelt.		
sannkristinn	lo	t			Orð sem felur í sér einhvers konar trúarbrögð, getur verið gildishlaðið, hlaðið fordómum, jafnvel talist úrelt.		
satan	no	t	b		Orð sem felur í sér einhvers konar trúarbrögð, getur verið gildishlaðið, hlaðið fordómum, jafnvel talist úrelt.		
trúarhatur	no	t			Orð sem felur í sér einhvers konar trúarbrögð, getur verið gildishlaðið, hlaðið fordómum, jafnvel talist úrelt.		
trúarnauðung	no	t	z		Orð sem felur í sér einhvers konar trúarbrögð, getur verið gildishlaðið, hlaðið fordómum, jafnvel talist úrelt.		
trúarofbeldi	no	t	z		Orð sem felur í sér einhvers konar trúarbrögð, getur verið gildishlaðið, hlaðið fordómum, jafnvel talist úrelt.		
trúarofsóknir	no	t	z		Orð sem felur í sér einhvers konar trúarbrögð, getur verið gildishlaðið, hlaðið fordómum, jafnvel talist úrelt.		
trúarofstækismaður	no	t			Óviðeigandi orð yfir einstakling af ákveðinni trú (sem hefur orðið fyrir ásóknum)		
trúvilla	no	t			Óviðeigandi orð yfir einstakling af ákveðinni trú (sem hefur orðið fyrir ásóknum)		
trúvillingur	no	t	n		Óviðeigandi orð yfir einstakling af ákveðinni trú (sem hefur orðið fyrir ásóknum)		
villutrúarmaður	no	t			Óviðeigandi orð yfir einstakling af ákveðinni trú (sem hefur orðið fyrir ásóknum)		
