Önnur merking (ekki óviðeigandi)									
										
orð	orðfl.	kóði	kóði2	merking	önnur merking (ekki óviðeigandi)	Óviðeigandi ástæða	Annað tilfallandi			
álfur	no	h		heimskur maður	x	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.				
apabýli	no	h	k - kk	flónslegur maður	x	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.	Skapgerð: Flón, kjáni			
apaköttur	no	h		heimskur maður	x	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.				
api	no	h	k - kk	heimskingi, auli	x	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.	Skapgerð: Flón, kjáni			
asni	no	h	n	heimskur maður	x	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.				
bakkabróðir	no	h		heimskur maður	x	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.				
bavían	no	h		heimskur maður	x	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.				
beinasni	no	h		heimskur maður	x	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.				
belja	no	u	k/kvk	hlussa, dyrgja	x (kýr)	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Gildvaxin kona			
biða	no	u	k/kvk	jafnbola kvenmaður : uppmjótt kerald	x (uppmjótt kerald)	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Gildvaxin kona			
bora	no	k/kvk		almennt skammaryrði kvk	x (so. Að bora)	niðrandi/ljót orð yfir konur	Almenn ljót orð um konur			
bryðja	no	u	k/kvk	digur kona, 'drumbur eða stór hlutur'	x ( drumbur/stór hlutur)	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Gildvaxin kona			
bumba	no	u			x (líkamspartur, magi)	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.				
busla	no	u	k/kvk	sóðaleg kona, subba	x (að busla, svamla)	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Útlit: Sóðaleg kona			
drusla	no	u	k/kvk	sóðafengin og lítilsgild kona	x( léleg flík)	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Útlit: Sóðaleg kona			
drymbini	no	u	k/kvk	digur kona, 'drumbur eða stór hlutur'	x (drumbur /stór hlutur)	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Gildvaxin kona			
fáki	no	h	k - kk	fákur, kjáni	x	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.	Skapgerð: Flón, kjáni			
fálki	no	h		heimskur maður	x	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.				
fálki	no	h	k - kk	auli, gapi ,heimskingi	x	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.	Skapgerð: Flón, kjáni			
fáni	no	h		heimskur maður	x	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.				
fáni	no	h	k - kk	flón, glannfenginn auli	x	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.	Skapgerð: Flón, kjáni			
